icon,name,ingredients
Wood_Fishing_Pole.png,Wood Fishing Pole,Wood.png
Reinforced_Fishing_Pole.png,Reinforced Fishing Pole,Any_Iron_Bar%201.gif
Fisher_of_Souls.png,Fisher of Souls,Demonite_Bar%201.png
Fleshcatcher.png,Fleshcatcher,Crimtane_Bar%201.png
Scarab_Fishing_Rod.png,Scarab Fishing Rod,"Mirage_Crate.png, Oasis_Crate.png"
Chum_Caster.png,Chum Caster,
Fiberglass_Fishing_Pole.png,Fiberglass Fishing Pole,"Bramble_Crate.png, Ivy_Chest.png, Jungle_Crate.png"
Mechanics_Rod.png,Mechanic's Rod,
Hotline_Fishing_Hook.png,Hotline Fishing Hook,
Golden_Fishing_Rod.png,Golden Fishing Rod,
Sitting_Ducks_Fishing_Pole.png,Hotline Fishing Hook,
